Year,Month,Day,Chlorophyll_mean,Chlorophyll_min,Chlorophyll_max
2019,6,4,1.05,1,1.1
2019,6,5,1.1,1.08,1.12
2019,6,6,1.975,1.96,1.99
2019,6,7,1.04,1.04,1.04
2019,6,8,1.47,1.36,1.58
2019,6,9,1.44,1.35,1.53
2019,6,10,1.455,1.41,1.5
2019,6,11,1.755,1.7,1.81
2019,6,12,1.455,1.38,1.53
2019,6,13,2.065,2.02,2.11
2019,6,14,1.61,1.54,1.68
2019,6,15,1.885,1.88,1.89
2019,6,16,2,1.93,2.07
2019,6,17,1.795,1.78,1.81
2019,6,18,1.885,1.85,1.92
2019,6,19,2.55,2.4,2.7
2019,6,20,2.68,2.57,2.87
2019,6,21,2.665,2.59,2.74
